,Train File,ID
66,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/1_pos.tif,1
18,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/3_pos.tif,3
78,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/4_pos.tif,4
9,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/5_pos.tif,5
7,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/6_pos.tif,6
54,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/8_pos.tif,8
10,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/9_neg.tif,9
43,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/10_neg.tif,10
73,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/12_pos.tif,12
51,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/13_pos.tif,13
1,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/14_pos.tif,14
56,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/15_neg.tif,15
13,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/18_pos.tif,18
14,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/19_pos.tif,19
85,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/20_neg.tif,20
22,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/21_pos.tif,21
5,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/22_pos.tif,22
3,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/23_neg.tif,23
49,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/25_pos.tif,25
79,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/26_neg.tif,26
88,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/27_pos.tif,27
77,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/30_pos.tif,30
72,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/31_neg.tif,31
35,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/32_pos.tif,32
60,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/33_pos.tif,33
83,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/34_pos.tif,34
8,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/35_pos.tif,35
81,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/36_pos.tif,36
29,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/37_pos.tif,37
21,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/38_pos.tif,38
64,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/39_pos.tif,39
68,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/40_pos.tif,40
37,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/41_neg.tif,41
45,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/42_pos.tif,42
34,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/43_pos.tif,43
52,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/46_neg.tif,46
59,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/47_pos.tif,47
31,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/49_pos.tif,49
74,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/50_pos.tif,50
27,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/51_pos.tif,51
33,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/54_neg.tif,54
80,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/55_pos.tif,55
67,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/56_neg.tif,56
70,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/58_neg.tif,58
42,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/59_neg.tif,59
57,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/60_pos.tif,60
89,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/61_pos.tif,61
6,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/62_neg.tif,62
65,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/63_pos.tif,63
0,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/64_neg.tif,64
