,Train File,ID
166,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/1_pos.tif,1
295,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_1_pos.tif,1
255,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_1_pos.tif,1
266,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_1_pos.tif,1
94,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/3_pos.tif,3
267,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_3_pos.tif,3
280,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_3_pos.tif,3
148,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_3_pos.tif,3
48,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/4_pos.tif,4
62,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_4_pos.tif,4
213,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_4_pos.tif,4
170,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_4_pos.tif,4
119,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/5_pos.tif,5
298,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_5_pos.tif,5
116,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_5_pos.tif,5
258,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_5_pos.tif,5
3,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/6_pos.tif,6
108,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_6_pos.tif,6
201,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_6_pos.tif,6
223,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_6_pos.tif,6
337,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/8_pos.tif,8
245,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_8_pos.tif,8
338,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_8_pos.tif,8
312,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_8_pos.tif,8
327,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/9_neg.tif,9
31,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_9_neg.tif,9
113,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_9_neg.tif,9
105,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_9_neg.tif,9
205,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/10_neg.tif,10
73,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_10_neg.tif,10
32,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_10_neg.tif,10
4,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_10_neg.tif,10
72,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/12_pos.tif,12
149,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_12_pos.tif,12
151,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_12_pos.tif,12
187,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_12_pos.tif,12
325,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/13_pos.tif,13
82,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_13_pos.tif,13
319,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_13_pos.tif,13
352,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_13_pos.tif,13
125,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/14_pos.tif,14
268,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_14_pos.tif,14
294,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_14_pos.tif,14
315,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_14_pos.tif,14
173,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/15_neg.tif,15
15,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_15_neg.tif,15
118,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_15_neg.tif,15
139,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_15_neg.tif,15
133,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/18_pos.tif,18
350,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_18_pos.tif,18
307,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_18_pos.tif,18
123,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_18_pos.tif,18
61,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/19_pos.tif,19
120,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_19_pos.tif,19
132,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_19_pos.tif,19
343,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_19_pos.tif,19
353,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/20_neg.tif,20
167,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_20_neg.tif,20
33,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_20_neg.tif,20
218,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_20_neg.tif,20
354,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/21_pos.tif,21
304,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_21_pos.tif,21
274,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_21_pos.tif,21
5,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_21_pos.tif,21
344,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/22_pos.tif,22
191,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_22_pos.tif,22
285,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_22_pos.tif,22
8,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_22_pos.tif,22
190,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/23_neg.tif,23
162,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_23_neg.tif,23
76,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_23_neg.tif,23
9,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_23_neg.tif,23
106,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/25_pos.tif,25
29,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_25_pos.tif,25
129,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_25_pos.tif,25
349,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_25_pos.tif,25
189,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/26_neg.tif,26
333,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dab_26_neg.tif,26
289,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/dist_26_neg.tif,26
331,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/hem_26_neg.tif,26
66,joy/UofA-Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/27_pos.tif,27
